town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
Park Farm,Old Mill Stream Tributary  East Stour,E4412,1.64,51.133674,0.892,0.880127,Aylesford Stream
Medbourne,Medbourne Brook,E2717,0.289,52.537116,0.015,-0.824895,Medbourne
Mytholmroyd,River Calder,L1204,2.1,53.73128,0.434,-1.983282,Mytholmroyd
Sprouston,Tweed,021021,1.63,55.61121,0.38,-2.395446,Sprouston
Kingston Russell,Groundwater Level,44239,unknown,50.715805,unknown,-2.5855,Kingston Russell
Bellingham,River North Tyne,023037,3,55.142852,0.032,-2.261953,Bellingham
,,690232,unknown,53.66352163581539,unknown,-2.1725513625468333,Whitworth
North Tidworth,River Bourne,43157,0.401,51.242295,0,-1.662004,Tidworth Manor Bridge
Tideford,River Tiddy,47141,0.503,50.413192,0.061,-4.331177,Tideford
Torksey,River Trent,4065,4.65,53.293511,1.4,-0.750996,Torksey
New Alresford,Alre,E12791,0.55,51.090021,0.173,-1.181212,Drove Lane
Welney Causeway,River Ouse,E21341,2.4,52.518826,0.459,0.252026,Welney Causeway
Euxton,Yarrow,700404,0.9,53.655307,0.083,-2.676594,Pincock Brow
Walcot,River Tern,2012,1.3,52.706629,0.386,-2.60558,Walcot
Satterthwaite,Cunsey Beck,735226,0.847,54.338025,0.289,-2.970931,Eel House Bridge
Gloucester,Wotton Brook,2272,1.5,51.863183,0.005,-2.221361,Armscroft Place
Bodicote,Sor Brook,1437TH,0.327,52.028582,0.058,-1.326852,Bodicote
Chipping Ongar,Cripsey Brook,5427TH,1,51.709101,0.083,0.239586,Chipping Ongar
Streatley,Thames,2003TH,0.215,51.523317,0.05,-1.141252,Goring Lock
High Green,River Calder,L12061,unknown,53.732576,-0.01,-2.045202,Todmorden Callis Bridge
Smithy Houses,Bottle Brook,4190,0.47,53.019889,0.35,-1.425573,Smithy Houses
Appleton,Thames,1099TH,0.376,51.716858,-0.004,-1.374624,Northmoor Lock
,,53160,unknown,51.36647346529826,unknown,-2.6222042940476684,CHEW MAGNA RESERVOIR
Sturmer,Stour Brook,E22511,0.98,52.069056,0.059,0.474036,Sturmer
Little Bytham,West Glen (To Kates Bridge),E2694,0.44,52.748345,0.01,-0.50217,Little Bytham
Barbrook,West Lyn River,50123,0.339,51.213836,0.083,-3.841064,Barbrook Bridge
Silsden,Silsden Beck,L1515,unknown,53.923505,unknown,-1.933535,Silsden
Stokesley,River Leven,L3804,0.898,54.46291,0.289,-1.19831,Stokesley Downstream
Semington,Semington Brook,53123,2,51.343988,0.266,-2.134327,Semington
Kislingbury,Nene,E1946,1.89,52.231962,0.043,-0.97793,Kislingbury
Todmorden,River Calder,F1207,1.14,53.716861,0.104,-2.096931,Todmorden
Gillingham,River Lodden,43208,1.82,51.034216,0.089,-2.265615,Lodden Bridge
Ollerton,River Maun,4116,0.8,53.226502,0.244,-1.008036,Whitewater Bridge
The Mythe,River Severn,2087,2.8,52.00171,0.406,-2.163093,Mythe Bridge
Woodlesford,River Aire,F1703,1.8,53.751469,0.176,-1.423682,Fleet Weir
Croft-on-Tees,Clow Beck,L3693,1.141,54.484792,0.722,-1.567976,Croft Monk End Farm
Burnley,River Calder,712052,0.9,53.78552,0.149,-2.234141,Oxford Rd
Whaddon,Whaddon Brook,E22103,0.457,52.101809,0.167,-0.017376,Whaddon
Hartford Bridge,Blyth,022006,unknown,55.113788,unknown,-1.620023,Hartford Bridge
Combeinteignhead,River Teign,46110,unknown,50.541046,unknown,-3.550843,Coombe Cellars
Fremington,Arkle Beck,L2351,0.661,54.388254,0,-1.936823,Reeth
Isleham,Kennett,E21119,0.223,52.332181,0.011,0.438278,Beck Bridge
Exminster,Exminster Marshes,45126,0.879,50.682229,0.3,-3.470109,Limekilns
Lostwithiel,River Fowey,49110,1.5,50.431183,0.24,-4.67963,Restormel
Hemel Hempstead,Bulbourne,2844TH,1.8,51.744674,0.639,-0.49654,"Hemel Hempstead, Old Fishery Lane"
Sandilands,Witham,E1538,unknown,53.293005,unknown,0.297051,Boygrift
Wendron,River Cober,48126,1,50.133798,0.354,-5.254647,Trenear
Cantley,River Yare,E23060,1.24,52.576492,0.198,1.516029,Cantley
Kirby Sigston,Cod Beck,L2314,1.2,54.347769,0.266,-1.3567,Kirby Sigston
Aycliffe Village,River Skerne,F3705,1.4,54.60851,0.139,-1.549436,Preston-Le-Skerne
Derwent Water at Lodore,Derwentwater,750106,1.706,54.562827,0.508,-3.138777,Derwent Water at Lodore
Ross On Wye,Wye,055817_TG 323,3.2,51.915339,0.254,-2.587573,Ross On Wye
Tanh Hall,River Derwent,L2810,9,53.991789,6.99,-0.916086,Stamford Bridge
Lakenheath,Little Ouse,E21838,2.105,52.453082,1.64,0.545246,Little Ouse
Whitwick,Grace Dieu Brook,4204,1.25,52.739499,0.131,-1.353725,Whitwick
Crewgreen,River Severn,2175,5.2,52.735739,0.187,-2.994315,Crew Green
Cheltenham,Lilley Brook,2671,0.49,51.883138,0.3,-2.061691,Moorend Road
Bickley,Kyd Brook,4381TH,1.1,51.403702,0.033,0.060218,Gosshill Road
Wykeham,River Rye,F2502,3.45,54.174308,0.194,-0.762132,Howe Bridge
Chapel Hill,Witham,E4403,1.333,53.070452,0.386,-0.196967,Chapel Hill
Princes Marsh,Arun,E10368,0.9,51.037463,0.08,-0.89988,Princes Marsh
Fordcombe,Medway,E651,2.75,51.150722,0.249,0.174763,Colliers Land Bridge
Fairmile,River Tale,45214,0.727,50.767191,0.269,-3.29459,Fairmile
Barrow Upon Soar,River Soar,4093,1.144,52.758541,0.935,-1.164067,Pillings Lock
Sandiacre,River Erewash,4427,1.3,52.921584,0.13,-1.283492,Sandiacre
Tibberton,River Meese,2040,0.327,52.781029,0.118,-2.474812,Tibberton
Furneux Pelham,Ash (Hertfordshire),5016TH,1,51.930418,0.13,0.086394,Furneux Pelham
Burford,Ledwyche Brook,2634,1.5,52.311774,0.531,-2.625404,Burford Bridge
Houghton Le Spring,Moors Burn,024012,1,54.842382,-0.111,-1.487058,Houghton Le Spring
